main_category,sub_category,sub_type,used,updated_date
Automotive,,car_dealer,FALSE,2024-01-01
Automotive,,car_rental,TRUE,2024-01-01
Automotive,,car_repair,FALSE,2024-01-01
Automotive,,car_wash,FALSE,2024-01-01
Automotive,,electric_vehicle_charging_station,FALSE,2024-01-01
Automotive,,gas_station,FALSE,2024-01-01
Automotive,,parking,TRUE,2024-01-01
Automotive,,rest_stop,TRUE,2024-01-01
Business,,corporate_office,FALSE,2024-11-07
Business,,farm,FALSE,2024-01-01
Business,,ranch,FALSE,2024-11-07
Culture,,art_gallery,TRUE,2024-01-01
Culture,,art_studio,TRUE,2024-11-07
Culture,,auditorium,FALSE,2024-11-07
Culture,,cultural_landmark,TRUE,2024-11-07
Culture,,historical_place,TRUE,2024-11-07
Culture,,monument,TRUE,2024-11-07
Culture,,museum,TRUE,2024-01-01
Culture,,performing_arts_theater,FALSE,2024-01-01
Culture,,sculpture,FALSE,2024-11-07
Education,,library,FALSE,2024-01-01
Education,,preschool,FALSE,2024-01-01
Education,,primary_school,FALSE,2024-01-01
Education,,school,FALSE,2024-01-01
Education,,secondary_school,FALSE,2024-01-01
Education,,university,FALSE,2024-01-01
Entertainment and Recreation,,adventure_sports_center,FALSE,2024-11-07
Entertainment and Recreation,,amphitheatre,FALSE,2024-11-07
Entertainment and Recreation,,amusement_center,TRUE,2024-01-01
Entertainment and Recreation,,amusement_park,TRUE,2024-01-01
Entertainment and Recreation,,aquarium,TRUE,2024-01-01
Entertainment and Recreation,,banquet_hall,FALSE,2024-01-01
Entertainment and Recreation,,barbecue_area,FALSE,2024-11-07
Entertainment and Recreation,,botanical_garden,TRUE,2024-11-07
Entertainment and Recreation,,bowling_alley,FALSE,2024-01-01
Entertainment and Recreation,,casino,FALSE,2024-01-01
Entertainment and Recreation,,childrens_camp,FALSE,2024-11-07
Entertainment and Recreation,,comedy_club,FALSE,2024-11-07
Entertainment and Recreation,,community_center,FALSE,2024-01-01
Entertainment and Recreation,,concert_hall,TRUE,2024-11-07
Entertainment and Recreation,,convention_center,FALSE,2024-01-01
Entertainment and Recreation,,cultural_center,FALSE,2024-01-01
Entertainment and Recreation,,cycling_park,FALSE,2024-11-07
Entertainment and Recreation,,dance_hall,FALSE,2024-11-07
Entertainment and Recreation,,dog_park,FALSE,2024-01-01
Entertainment and Recreation,,event_venue,FALSE,2024-01-01
Entertainment and Recreation,,ferris_wheel,TRUE,2024-11-07
Entertainment and Recreation,,garden,TRUE,2024-11-07
Entertainment and Recreation,,hiking_area,TRUE,2024-11-07
Entertainment and Recreation,,historical_landmark,TRUE,2024-01-01
Entertainment and Recreation,,internet_cafe,FALSE,2024-11-07
Entertainment and Recreation,,karaoke,FALSE,2024-11-07
Entertainment and Recreation,,marina,FALSE,2024-01-01
Entertainment and Recreation,,movie_rental,FALSE,2024-01-01
Entertainment and Recreation,,movie_theater,FALSE,2024-01-01
Entertainment and Recreation,,national_park,TRUE,2024-01-01
Entertainment and Recreation,,night_club,FALSE,2024-01-01
Entertainment and Recreation,,observation_deck,TRUE,2024-11-07
Entertainment and Recreation,,off_roading_area,FALSE,2024-11-07
Entertainment and Recreation,,opera_house,FALSE,2024-11-07
Entertainment and Recreation,,park,TRUE,2024-01-01
Entertainment and Recreation,,philharmonic_hall,FALSE,2024-11-07
Entertainment and Recreation,,picnic_ground,FALSE,2024-11-07
Entertainment and Recreation,,planetarium,TRUE,2024-11-07
Entertainment and Recreation,,plaza,TRUE,2024-11-07
Entertainment and Recreation,,roller_coaster,TRUE,2024-11-07
Entertainment and Recreation,,skateboard_park,FALSE,2024-11-07
Entertainment and Recreation,,state_park,TRUE,2024-11-07
Entertainment and Recreation,,tourist_attraction,TRUE,2024-01-01
Entertainment and Recreation,,video_arcade,FALSE,2024-11-07
Entertainment and Recreation,,visitor_center,FALSE,2024-01-01
Entertainment and Recreation,,water_park,TRUE,2024-11-07
Entertainment and Recreation,,wedding_venue,FALSE,2024-01-01
Entertainment and Recreation,,wildlife_park,TRUE,2024-11-07
Entertainment and Recreation,,wildlife_refuge,FALSE,2024-11-07
Entertainment and Recreation,,zoo,TRUE,2024-01-01
Facilities,,public_bath,FALSE,2024-11-07
Facilities,,public_bathroom,FALSE,2024-11-07
Facilities,,stable,FALSE,2024-11-07
Finance,,accounting,FALSE,2024-01-01
Finance,,atm,FALSE,2024-01-01
Finance,,bank,FALSE,2024-01-01
Food and Drink,snack,acai_shop,FALSE,2024-11-07
Food and Drink,restaurant,afghani_restaurant,TRUE,2024-11-07
Food and Drink,restaurant,african_restaurant,TRUE,2024-11-07
Food and Drink,restaurant,american_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,asian_restaurant,TRUE,2024-11-07
Food and Drink,snack,bagel_shop,TRUE,2024-11-07
Food and Drink,snack,bakery,TRUE,2024-01-01
Food and Drink,night meal,bar,TRUE,2024-01-01
Food and Drink,night meal,bar_and_grill,TRUE,2024-11-07
Food and Drink,restaurant,barbecue_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,brazilian_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,breakfast_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,brunch_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,buffet_restaurant,TRUE,2024-11-07
Food and Drink,snack,cafe,TRUE,2024-01-01
Food and Drink,restaurant,cafeteria,FALSE,2024-11-07
Food and Drink,snack,candy_store,TRUE,2024-11-07
Food and Drink,snack,cat_cafe,TRUE,2024-11-07
Food and Drink,restaurant,chinese_restaurant,TRUE,2024-01-01
Food and Drink,snack,chocolate_factory,TRUE,2024-11-07
Food and Drink,snack,chocolate_shop,TRUE,2024-11-07
Food and Drink,snack,coffee_shop,TRUE,2024-01-01
Food and Drink,snack,confectionery,TRUE,2024-11-07
Food and Drink,restaurant,deli,TRUE,2024-11-07
Food and Drink,restaurant,dessert_restaurant,TRUE,2024-11-07
Food and Drink,snack,dessert_shop,TRUE,2024-11-07
Food and Drink,restaurant,diner,TRUE,2024-11-07
Food and Drink,snack,dog_cafe,TRUE,2024-11-07
Food and Drink,snack,donut_shop,TRUE,2024-11-07
Food and Drink,restaurant,fast_food_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,fine_dining_restaurant,TRUE,2024-11-07
Food and Drink,restaurant,food_court,TRUE,2024-11-07
Food and Drink,restaurant,french_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,greek_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,hamburger_restaurant,TRUE,2024-01-01
Food and Drink,snack,ice_cream_shop,TRUE,2024-01-01
Food and Drink,restaurant,indian_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,indonesian_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,italian_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,japanese_restaurant,TRUE,2024-01-01
Food and Drink,snack,juice_shop,TRUE,2024-11-07
Food and Drink,restaurant,korean_restaurant,TRUE,2024-11-07
Food and Drink,restaurant,lebanese_restaurant,TRUE,2024-01-01
Food and Drink,,meal_delivery,FALSE,2024-01-01
Food and Drink,,meal_takeaway,TRUE,2024-01-01
Food and Drink,restaurant,mediterranean_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,mexican_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,middle_eastern_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,pizza_restaurant,TRUE,2024-01-01
Food and Drink,night meal,pub,TRUE,2024-11-07
Food and Drink,restaurant,ramen_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,restaurant,TRUE,2024-01-01
Food and Drink,snack,sandwich_shop,TRUE,2024-01-01
Food and Drink,restaurant,seafood_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,spanish_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,steak_house,TRUE,2024-01-01
Food and Drink,restaurant,sushi_restaurant,TRUE,2024-01-01
Food and Drink,snack,tea_house,TRUE,2024-11-07
Food and Drink,restaurant,thai_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,turkish_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,vegan_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,vegetarian_restaurant,TRUE,2024-01-01
Food and Drink,restaurant,vietnamese_restaurant,TRUE,2024-01-01
Food and Drink,night meal,wine_bar,TRUE,2024-11-07
