main_category,sub_category,sub_type,used,updated_date,Column1
Automotive,,car_dealer,FALSE,2024-01-01,car_dealer
Automotive,,car_rental,TRUE,2024-01-01,car_rental
Automotive,,car_repair,FALSE,2024-01-01,car_repair
Automotive,,car_wash,FALSE,2024-01-01,car_wash
Automotive,,electric_vehicle_charging_station,FALSE,2024-01-01,electric_vehicle_charging_station
Automotive,,gas_station,FALSE,2024-01-01,gas_station
Automotive,,parking,TRUE,2024-01-01,parking
Automotive,,rest_stop,TRUE,2024-01-01,rest_stop
Business,,corporate_office *,FALSE,2024-11-07,corporate_office
Business,,farm,FALSE,2024-01-01,farm
Business,,ranch *,FALSE,2024-11-07,ranch
Culture,,art_gallery,TRUE,2024-01-01,art_gallery
Culture,,art_studio *,TRUE,2024-11-07,art_studio
Culture,,auditorium *,FALSE,2024-11-07,auditorium
Culture,,cultural_landmark *,TRUE,2024-11-07,cultural_landmark
Culture,,historical_place *,TRUE,2024-11-07,historical_place
Culture,,monument *,TRUE,2024-11-07,monument
Culture,,museum,TRUE,2024-01-01,museum
Culture,,performing_arts_theater,FALSE,2024-01-01,performing_arts_theater
Culture,,sculpture *,FALSE,2024-11-07,sculpture
Education,,library,FALSE,2024-01-01,library
Education,,preschool,FALSE,2024-01-01,preschool
Education,,primary_school,FALSE,2024-01-01,primary_school
Education,,school,FALSE,2024-01-01,school
Education,,secondary_school,FALSE,2024-01-01,secondary_school
Education,,university,FALSE,2024-01-01,university
Entertainment and Recreation,,adventure_sports_center *,FALSE,2024-11-07,adventure_sports_center
Entertainment and Recreation,,amphitheatre *,FALSE,2024-11-07,amphitheatre
Entertainment and Recreation,,amusement_center,TRUE,2024-01-01,amusement_center
Entertainment and Recreation,,amusement_park,TRUE,2024-01-01,amusement_park
Entertainment and Recreation,,aquarium,TRUE,2024-01-01,aquarium
Entertainment and Recreation,,banquet_hall,FALSE,2024-01-01,banquet_hall
Entertainment and Recreation,,barbecue_area *,FALSE,2024-11-07,barbecue_area
Entertainment and Recreation,,botanical_garden *,TRUE,2024-11-07,botanical_garden
Entertainment and Recreation,,bowling_alley,FALSE,2024-01-01,bowling_alley
Entertainment and Recreation,,casino,FALSE,2024-01-01,casino
Entertainment and Recreation,,childrens_camp *,FALSE,2024-11-07,childrens_camp
Entertainment and Recreation,,comedy_club *,FALSE,2024-11-07,comedy_club
Entertainment and Recreation,,community_center,FALSE,2024-01-01,community_center
Entertainment and Recreation,,concert_hall *,TRUE,2024-11-07,concert_hall
Entertainment and Recreation,,convention_center,FALSE,2024-01-01,convention_center
Entertainment and Recreation,,cultural_center,FALSE,2024-01-01,cultural_center
Entertainment and Recreation,,cycling_park *,FALSE,2024-11-07,cycling_park
Entertainment and Recreation,,dance_hall *,FALSE,2024-11-07,dance_hall
Entertainment and Recreation,,dog_park,FALSE,2024-01-01,dog_park
Entertainment and Recreation,,event_venue,FALSE,2024-01-01,event_venue
Entertainment and Recreation,,ferris_wheel *,TRUE,2024-11-07,ferris_wheel
Entertainment and Recreation,,garden *,TRUE,2024-11-07,garden
Entertainment and Recreation,,hiking_area *,TRUE,2024-11-07,hiking_area
Entertainment and Recreation,,historical_landmark,TRUE,2024-01-01,historical_landmark
Entertainment and Recreation,,internet_cafe *,FALSE,2024-11-07,internet_cafe
Entertainment and Recreation,,karaoke *,FALSE,2024-11-07,karaoke
Entertainment and Recreation,,marina,FALSE,2024-01-01,marina
Entertainment and Recreation,,movie_rental,FALSE,2024-01-01,movie_rental
Entertainment and Recreation,,movie_theater,FALSE,2024-01-01,movie_theater
Entertainment and Recreation,,national_park,TRUE,2024-01-01,national_park
Entertainment and Recreation,,night_club,FALSE,2024-01-01,night_club
Entertainment and Recreation,,observation_deck *,TRUE,2024-11-07,observation_deck
Entertainment and Recreation,,off_roading_area *,FALSE,2024-11-07,off_roading_area
Entertainment and Recreation,,opera_house *,FALSE,2024-11-07,opera_house
Entertainment and Recreation,,park,TRUE,2024-01-01,park
Entertainment and Recreation,,philharmonic_hall *,FALSE,2024-11-07,philharmonic_hall
Entertainment and Recreation,,picnic_ground *,FALSE,2024-11-07,picnic_ground
Entertainment and Recreation,,planetarium *,TRUE,2024-11-07,planetarium
Entertainment and Recreation,,plaza *,TRUE,2024-11-07,plaza
Entertainment and Recreation,,roller_coaster *,TRUE,2024-11-07,roller_coaster
Entertainment and Recreation,,skateboard_park *,FALSE,2024-11-07,skateboard_park
Entertainment and Recreation,,state_park *,TRUE,2024-11-07,state_park
Entertainment and Recreation,,tourist_attraction,TRUE,2024-01-01,tourist_attraction
Entertainment and Recreation,,video_arcade *,FALSE,2024-11-07,video_arcade
Entertainment and Recreation,,visitor_center,FALSE,2024-01-01,visitor_center
Entertainment and Recreation,,water_park *,TRUE,2024-11-07,water_park
Entertainment and Recreation,,wedding_venue,FALSE,2024-01-01,wedding_venue
Entertainment and Recreation,,wildlife_park *,TRUE,2024-11-07,wildlife_park
Entertainment and Recreation,,wildlife_refuge *,FALSE,2024-11-07,wildlife_refuge
Entertainment and Recreation,,zoo,TRUE,2024-01-01,zoo
Facilities,,public_bath *,FALSE,2024-11-07,public_bath
Facilities,,public_bathroom *,FALSE,2024-11-07,public_bathroom
Facilities,,stable *,FALSE,2024-11-07,stable
Finance,,accounting,FALSE,2024-01-01,accounting
Finance,,atm,FALSE,2024-01-01,atm
Finance,,bank,FALSE,2024-01-01,bank
Food and Drink,snack,acai_shop *,FALSE,2024-11-07,acai_shop
Food and Drink,restaurant,afghani_restaurant *,TRUE,2024-11-07,afghani_restaurant
Food and Drink,restaurant,african_restaurant *,TRUE,2024-11-07,african_restaurant
Food and Drink,restaurant,american_restaurant,TRUE,2024-01-01,american_restaurant
Food and Drink,restaurant,asian_restaurant *,TRUE,2024-11-07,asian_restaurant
Food and Drink,snack,bagel_shop *,TRUE,2024-11-07,bagel_shop
Food and Drink,snack,bakery,TRUE,2024-01-01,bakery
Food and Drink,night meal,bar,TRUE,2024-01-01,bar
Food and Drink,night meal,bar_and_grill *,TRUE,2024-11-07,bar_and_grill
Food and Drink,restaurant,barbecue_restaurant,TRUE,2024-01-01,barbecue_restaurant
Food and Drink,restaurant,brazilian_restaurant,TRUE,2024-01-01,brazilian_restaurant
Food and Drink,restaurant,breakfast_restaurant,TRUE,2024-01-01,breakfast_restaurant
Food and Drink,restaurant,brunch_restaurant,TRUE,2024-01-01,brunch_restaurant
Food and Drink,restaurant,buffet_restaurant *,TRUE,2024-11-07,buffet_restaurant
Food and Drink,snack,cafe,TRUE,2024-01-01,cafe
Food and Drink,restaurant,cafeteria *,FALSE,2024-11-07,cafeteria
Food and Drink,snack,candy_store *,TRUE,2024-11-07,candy_store
Food and Drink,snack,cat_cafe *,TRUE,2024-11-07,cat_cafe
Food and Drink,restaurant,chinese_restaurant,TRUE,2024-01-01,chinese_restaurant
Food and Drink,snack,chocolate_factory *,TRUE,2024-11-07,chocolate_factory
Food and Drink,snack,chocolate_shop *,TRUE,2024-11-07,chocolate_shop
Food and Drink,snack,coffee_shop,TRUE,2024-01-01,coffee_shop
Food and Drink,snack,confectionery *,TRUE,2024-11-07,confectionery
Food and Drink,restaurant,deli *,TRUE,2024-11-07,deli
Food and Drink,restaurant,dessert_restaurant *,TRUE,2024-11-07,dessert_restaurant
